Serial ,Date,User,Tweet
68,2022-08-30 10:56:55+00:00,flyingbeast320,@ImranKh86920072 Every human life is important. And stop playing tit for tat game here..
69,2022-08-30 10:14:20+00:00,flyingbeast320,How can you burn a  human alive. Just because they don’t subscribe to your views !! #AnkitaSingh
70,2022-08-28 18:39:14+00:00,flyingbeast320,"TV mat todna padosiyo…
#INDvsPAK https://t.co/9TlPHxMTKj"
71,2022-08-28 18:16:56+00:00,flyingbeast320,Aaj kiski jeet hui hai bhai  ??
72,2022-08-27 07:18:55+00:00,flyingbeast320,After hitting another half century. Relaxing in #YuziChahal pose @yuzi_chahal https://t.co/0lGhyhlnxS
73,2022-08-18 09:42:50+00:00,flyingbeast320,Hire a plane and fly over Noida sec 51 metro station !! @MrBeast
74,2022-08-18 09:26:42+00:00,flyingbeast320,We on the cover @captriturathee https://t.co/WY2FXZHdPz
75,2022-08-18 08:10:33+00:00,flyingbeast320,"जन्माष्टमी की सभी को शुभकामनाएँ ।
भगवान श्री कृष्ण की जय ।। 
#Janamashtami"
76,2022-08-16 13:24:25+00:00,flyingbeast320,"इस साल कुछ अलग था ।
#JaiHind 
#AzadiKaAmritMahotsav https://t.co/7SuElBkNE7"
77,2022-08-15 15:24:47+00:00,flyingbeast320,"Azaadi ka Amrit Mohotsav at Attari border @BSF_India 
इतनी भीड़ देख पड़ोसी घबरा गए थे ।
#HappyIndependenceDay https://t.co/q9CVrButdy"
78,2022-08-15 09:44:38+00:00,flyingbeast320,Apologies for typo
79,2022-08-15 09:26:42+00:00,flyingbeast320,"यह देश की मिट्टी ने हमेशा वीरों को जनम दिया है ।
Thank you #IndianArmy for this opportunity @easterncomd @trishakticorps 
#JaiHind
#HappyIndependenceDay https://t.co/0Hfx7VS6XR"
80,2022-08-12 13:33:07+00:00,flyingbeast320,#HarGharTiranga https://t.co/OtiQsLpQjB
81,2022-08-09 04:20:17+00:00,flyingbeast320,@BhavyaBairagi1 Happy birthday
82,2022-08-07 16:42:33+00:00,flyingbeast320,@alwarkadiyaan 2 mins only
83,2022-08-07 16:29:39+00:00,flyingbeast320,#JustForFun
84,2022-08-07 08:18:36+00:00,flyingbeast320,"Hi @livemint आपके अख़बार में एक add चलाना है । please send the quotation.
Pic attached.
#Swaaha https://t.co/8H8tCiL79h"
